Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Weather Condition,Energy (j)
8.764103889,1993.170712,231.0016022,Windy,1885.860962
9.669431686,2568.827129,227.6000977,Cloudy,2327.511963
10.14109039,2876.753616,227.7315979,Sunny,2499.162109
10.77241993,3186.029883,225.2763977,Windy,2820.512939
10.64752007,3133.259224,224.680603,Cloudy,2812.279053
9.982661247,2781.274041,225.5195007,Rainy,2530.447021
9.874385834,2711.492458,227.2738037,Rainy,2399.121094
9.785479546,2651.341009,229.2554932,Rainy,2335.587891
9.614232063,2527.945451,230.7368927,Sunny,2341.133057
9.618504524,2531.14794,229.490799,Windy,2391.8479
9.098683357,2207.79282,223.960907,Cloudy,2118.389893
8.677425385,1938.478601,219.7937012,Rainy,1866.845947
8.774898529,2000.011716,219.0449066,Rainy,1865.619019
8.689981461,1946.373955,215.3352051,Sunny,1862.447998
8.631073952,1909.416256,216.2799988,Sunny,1884.119019
8.614569664,1899.100734,214.5290985,Windy,1855.776978
9.21884346,2285.917032,212.1799011,Cloudy,1958.133057
10.04951954,2822.50949,210.3085938,Rainy,2228.24292
10.31871033,2974.866796,210.5881042,Rainy,2529.291016
10.76675987,3183.72246,207.4813995,Sunny,2788.25708
10.55825043,3093.110672,208.5518951,Windy,2692.929932
10.25072002,2938.394607,208.0106964,Cloudy,2535.353027
10.46477032,3048.823833,205.7528992,Sunny,2584.665039
11.39078045,3393.645541,200.6542969,Windy,2960.183105
11.56554031,3437.597135,198.1242981,Cloudy,3062.978027
11.2802496,3362.668742,198.5381927,Rainy,3024.39209
11.33677959,3378.826271,200.4904022,Rainy,3187.9729
11.80463982,3488.248491,199.2469025,Sunny,3387.228027
11.3635397,3386.244486,199.8054962,Windy,3209.018066
11.63259029,3452.881108,198.2677002,Cloudy,3272.665039
11.44476032,3407.867876,195.6320038,Rainy,3209.698975
11.27190018,3360.225775,196.6611023,Rainy,3134.518066
11.05900955,3292.880925,196.5158997,Cloudy,2977.824951
12.10377979,3537.173706,198.2570038,Rainy,3431.772949
12.92813969,3597.469467,201.5825958,Cloudy,3604.209961
13.31941986,3600,201.9421997,Windy,3601.327881
13.12152004,3600,203.5077972,Rainy,3604.426025
13.23544979,3600,202.6929932,Sunny,3604.391113
13.23589993,3600,202.9362946,Windy,3604.337891
13.02956009,3600,201.2539063,Cloudy,3554.687988
12.96393967,3597.794635,201.3408966,Windy,3479.407959
12.90295029,3597.13106,200.9795074,Rainy,3472.333008
12.76634026,3593.704942,200.9960022,Sunny,3491.510986
12.89834976,3597.059449,200.5142059,Windy,3536.989014
12.74211025,3592.814313,202.8952942,Cloudy,3528.658936
12.31826019,3562.990095,202.841095,Rainy,3581.540039
12.41880989,3572.556143,202.4118042,Sunny,3570.079102
12.54298973,3582.204643,201.6253052,Windy,3597.604004
12.67599964,3589.945634,199.3220978,Cloudy,3441.025879
13.00304985,3600,197.1307068,Rainy,3373.969971
13.29767036,3600,196.4936066,Rainy,3369.812988
12.84405994,3595.984792,195.3150024,Sunny,3375.903076
12.70538998,3591.300461,196.0422058,Sunny,3377.649902
12.1833601,3547.627655,197.7438965,Windy,3374.423096
12.20514011,3550.307222,196.8088074,Cloudy,3401.081055
12.60188007,3585.959181,193.8157043,Rainy,3469.412109
12.84455013,3595.996394,194.3466034,Rainy,3511.809082
12.49705982,3578.911555,196.009201,Sunny,3536.759033
12.09607029,3536.105139,197.9526978,Windy,3467.808105
12.19612026,3549.206917,201.330307,Cloudy,3460.677002
12.55035019,3582.702554,201.1882019,Sunny,3589.443115
12.6156702,3586.762967,202.6235962,Windy,3527.718994
13.10278034,3600,201.7666016,Cloudy,3561.26709
13.68774986,3600,199.0195007,Rainy,3604.068115
14.10241985,3600,196.2552032,Rainy,3604.176025
14.39330959,3600,195.8798981,Sunny,3593.200928
14.07954979,3600,197.6403046,Windy,3493.821045
14.05440044,3600,197.2447968,Cloudy,3470.701904
13.51247025,3600,195.9954071,Rainy,3436.610107
13.71004963,3600,192.4197998,Rainy,3401.455078
13.7423296,3600,191.0137024,Cloudy,3395.23291
13.14186001,3600,192.2046967,Rainy,3417.503906
12.86771011,3596.50506,192.771698,Cloudy,3465.108887
12.84727001,3596.060138,192.4705048,Windy,3467.417969
12.73211002,3592.421666,192.5679016,Rainy,3522.406982
12.51620007,3580.322941,194.9992065,Sunny,3510.10791
12.59866047,3585.767414,196.0422974,Windy,3513.844971
13.23031998,3600,196.4087982,Cloudy,3564.008057
13.0946703,3600,198.5249939,Windy,3475.278076
12.91687965,3597.329407,198.0101013,Rainy,3561.990967
12.63354969,3587.762741,197.6634979,Sunny,3521.554932
12.82567024,3595.524457,201.1040955,Windy,3493.60791
12.54162025,3582.111096,200.3634033,Cloudy,3555.304932
12.10496998,3537.337786,196.9826965,Sunny,3377.12793
12.36250019,3567.394707,199.798996,Windy,3479.626953
12.60391045,3586.079315,201.2702942,Cloudy,3539.112061
12.21222019,3551.161616,198.9846039,Rainy,3430.436035
11.98762035,3520.011831,202.5711975,Sunny,3301.917969
11.67932987,3463.031603,200.7035065,Windy,3235.543945
12.46971989,3576.798254,197.8733978,Cloudy,3519.022949
12.49489975,3578.748756,201.1011047,Rainy,3469.537109
11.78983021,3485.417643,200.3565979,Rainy,3296.186035
10.90355015,3237.314957,199.4629059,Sunny,3045.51001
12.18807983,3548.214895,202.7460022,Sunny,3444.741943
11.97813034,3518.508247,199.4022064,Windy,3417.746094
10.67446995,3144.977295,197.2297058,Cloudy,2807.613037
9.69664669,2588.59196,200.3191986,Rainy,2493.393066
11.41759014,3400.782508,200.488205,Rainy,3215.196045
12.68927002,3590.573175,199.5281067,Sunny,3589.590088
13.05860043,3600,200.6078033,Windy,3599.149902
11.52081966,3426.922472,195.8547058,Cloudy,3375.177002
11.51231003,3424.84719,197.7467041,Sunny,3346.980957
12.41629982,3572.336603,199.1638031,Windy,3567.967041
12.16014957,3544.686608,198.3968964,Cloudy,3519.264893
11.67107964,3461.269666,194.6569977,Rainy,3485.191895
11.14585972,3321.545696,195.8325043,Rainy,3145.562988
10.77289963,3186.225079,193.1703949,Rainy,2978.310059
10.92975998,3247.07462,195.0997009,Sunny,3179.008057
12.14006042,3542.069502,198.2947998,Windy,3461.581055
11.19556046,3337.205225,200.7570038,Cloudy,3082.549072
12.94869041,3597.678446,204.0805969,Rainy,3493.657959
14.87942982,3600,197.5942993,Rainy,3601.045898
15.12405968,3600,196.3455963,Sunny,3597.564941
16.29367065,3600,196.8367004,Sunny,3602.172119
16.12397957,3600,192.2306061,Windy,3601.99292
15.27460003,3600,190.949295,Cloudy,3600.791016
13.56672001,3600,192.9456024,Rainy,3590.75
15.36779976,3600,194.7528076,Rainy,3601.845947
15.86174965,3600,195.0402985,Sunny,3601.870117
14.92051029,3600,197.9895935,Windy,3591.655029
13.60853004,3600,201.4945068,Cloudy,3579.024902
14.46385956,3600,200.4884033,Sunny,3598.131104
12.68828964,3590.527705,202.2259979,Windy,3525.333008
13.55690002,3600,202.153595,Cloudy,3560.699951
13.32281017,3600,203.2893982,Rainy,3537.676025
12.60700989,3586.261512,201.0937042,Rainy,3491.291016
12.31476021,3562.628404,197.5440979,Sunny,3530.766113
10.3801899,3006.71767,200.9197998,Windy,2915.839111
9.11702919,2219.691985,201.0245056,Cloudy,2178.658936
9.253190994,2308.322526,198.9759979,Rainy,2244.412109
9.072306633,2190.704763,198.2364044,Rainy,1278.89502
10.34463024,2988.424599,196.6472015,Cloudy,2832.934082
11.10330963,3307.71074,200.1464996,Rainy,3205.9729
11.06910992,3296.300642,198.8968048,Cloudy,3149.284912
11.32581043,3375.742901,201.1446075,Windy,3273.656006
11.01513958,3277.761152,204.9272003,Rainy,3114.099121
10.90725994,3238.706158,204.813797,Sunny,3111.060059
11.76941013,3481.44923,209.778595,Windy,3361.011963
11.87483025,3501.130346,209.6006012,Cloudy,3421.419922
12.16926003,3545.851555,208.3181,Windy,3520.148926
12.82061958,3595.389466,211.1817932,Rainy,3589.427002
12.57161999,3584.095307,209.4647064,Sunny,3495.115967
11.39929962,3395.929165,205.625,Windy,3298.761963
10.54543018,3087.174334,200.6107025,Cloudy,2894.440918
12.30932999,3562.063389,202.0561981,Rainy,3486.628906
12.1683197,3545.731948,203.7207031,Sunny,3455.24707
12.28707981,3559.699203,204.6085968,Windy,3556.785889
12.01319027,3523.986209,201.7415009,Cloudy,3375.582031
12.21352959,3551.318734,201.7156067,Rainy,3493.979004
12.93774033,3597.57459,199.9685059,Rainy,3549.147949
13.66942024,3600,203.870697,Sunny,3483.315918
13.69785976,3600,204.8023071,Sunny,3589.858887
12.75835991,3593.421089,202.6508026,Windy,3584.235107
12.76517963,3593.664238,201.2570953,Cloudy,3599.008057
13.07721996,3600,203.4407043,Rainy,3602.637939
12.59340954,3585.451317,205.1535034,Rainy,3550.563965
12.51366997,3580.139581,205.008194,Sunny,3552.782959
12.53439999,3581.613183,204.1203003,Windy,3585.010986
11.96442986,3516.3102,201.9989014,Cloudy,3421.176025
11.94577026,3513.264349,194.3786926,Sunny,3406.040039
12.20707989,3550.542117,189.5238037,Windy,3515.610107
12.2751503,3558.399068,190.5794983,Cloudy,3515.965088
12.72264004,3592.036307,187.6125031,Rainy,3475.418945
12.26537037,3557.31619,189.4371948,Rainy,3471.156982
11.70368958,3468.159913,192.2619019,Sunny,3281.754883
10.96352959,3259.412905,190.4571991,Windy,2955.11499
11.29796982,3367.805139,192.8582001,Cloudy,3061.735107
10.66594982,3141.292611,194.0843964,Rainy,2679.110107
10.8332901,3210.350601,195.2017975,Rainy,2721.081055
10.57837009,3102.339998,195.3432007,Cloudy,2649.136963
10.38854027,3010.962279,201.797699,Rainy,2707.74292
10.08041954,2841.099422,204.2073975,Cloudy,2508.832031
9.838738441,2687.688082,199.747406,Windy,2316.647949
11.43999958,3406.637064,200.2402954,Rainy,3081.542969
11.94402981,3512.977172,201.1663971,Sunny,3397.638916
11.85929012,3498.353994,201.7106018,Windy,3391.716064
12.81147957,3595.135782,201.3484955,Cloudy,3587.510986
12.91353989,3597.284381,201.6768951,Windy,3603.112061
12.72832012,3592.269026,202.4132996,Rainy,3591.093018
11.66357994,3459.656972,202.6618958,Sunny,3221.044922
11.0952301,3305.038612,204.061203,Windy,2887.733887
10.16094971,2888.183469,203.3379059,Cloudy,2364.534912
9.202415466,2275.211448,197.8013,Sunny,1935.847046
8.539284706,1852.273851,195.5061035,Windy,1549.480957
8.809141159,2021.754239,187.4846039,Cloudy,1625.755981
9.608460426,2523.60898,188.0238953,Rainy,1994.222046
9.844923973,2691.848533,190.6604004,Sunny,2362
9.338670731,2364.198743,196.7335968,Windy,2097.771973
8.424916267,1781.899877,197.0158997,Cloudy,1564.590942
7.656233788,1339.713949,188.6903992,Rainy,1107.474976
8.144581795,1613.847713,181.6596069,Rainy,1303.116943
8.54713726,1857.140175,173.5366974,Sunny,1561.182007
8.381804466,1755.627598,171.3834076,Sunny,1544.999023
7.850449085,1445.553534,179.8197937,Windy,1456.738037
8.656551361,1925.374082,188.2382965,Cloudy,1795.644043
10.92311954,3244.617174,179.039093,Rainy,2773.291016
10.4051199,3019.332696,176.9255981,Rainy,2782.568115
9.498130798,2468.761378,174.677002,Sunny,2446.424072
11.93025017,3510.684928,180.6725006,Windy,3412.39209
11.07629013,3298.717792,183.8755035,Cloudy,3255.337891
10.45788002,3045.466801,192.1911011,Sunny,2796.876953
9.791149139,2655.255241,197.104599,Windy,2467.954102
7.626486778,1323.911052,202.940506,Cloudy,1278.886963
7.287635803,1150.913828,207.3871002,Rainy,1042.537964
6.228209019,703.7205269,216.9989014,Rainy,609.0761719
4.47162199,216.0170723,222.5090942,Rainy,175.4407043
4.127829075,147.1041396,215.4514008,Sunny,112.1109009
5.032844067,344.1094784,202.5102997,Windy,271.9171143
6.267045021,717.8434981,211.2003021,Cloudy,737.4487915
7.763337135,1397.52319,193.6107025,Rainy,1375.579956
8.21955204,1658.119112,172.135498,Rainy,1520.890015
7.974888802,1515.649475,168.3569031,Sunny,1349.112061
6.794364929,926.0444806,171.1295013,Sunny,889.1298218
5.536108017,479.4472407,162.7037964,Windy,412.115509
5.491714954,466.6197137,150.2816925,Cloudy,444.6036072
6.076754093,650.187023,149.6408997,Rainy,655.7307129
6.69093895,882.7282325,152.2225037,Rainy,882.5654297
6.848011971,949.0116113,157.1643066,Sunny,998.3845825
7.759384155,1395.364787,152.699707,Windy,1193.395996
7.417626858,1215.659509,152.076004,Cloudy,1122.712036
7.472226143,1243.600054,154.7837982,Sunny,1214.125977
7.080772877,1052.768027,160.2183075,Windy,1086.307007
7.053721905,1040.356847,165.8153992,Cloudy,1060.603027
7.766314983,1399.150382,170.8444977,Rainy,1451.713989
7.833246231,1435.998878,173.0240936,Rainy,1361.459961
7.959300995,1506.776853,173.9763947,Sunny,1490.569946
7.283742905,1149.012424,176.7931976,Windy,1153.139038
7.001252174,1016.552582,178.0930023,Cloudy,953.9760132
6.758135796,910.7282546,174.0330048,Rainy,799.0856934
6.179992199,686.4114027,167.9960022,Rainy,616.2548218
6.301719189,730.5901706,168.8119965,Cloudy,646.9244995
7.517776966,1267.134969,184.7017975,Rainy,1323.682007
8.094202995,1584.395551,194.0092926,Cloudy,1568.885986
7.854953766,1448.061049,197.8014984,Windy,1580.902954
7.719468117,1373.675076,191.2086945,Rainy,1495.180054
8.847901344,2046.438946,195.0639038,Sunny,2063.868896
9.631019592,2540.491731,198.074707,Windy,2368.76001
9.767664909,2638.971731,191.838501,Cloudy,2516.419922
9.185004234,2263.873095,190.0070038,Windy,2108.770996
9.927650452,2746.29034,179.3226929,Rainy,2568.111084
12.03275967,3526.952507,175.9355011,Sunny,3445.219971
10.87308979,3225.769174,180.7583008,Windy,2994.106934
10.38061047,3006.931915,177.4212036,Cloudy,2594.937012
10.34302044,2987.588083,164.6313934,Rainy,2326.825928
9.283791542,2328.307526,157.3659973,Sunny,1941.463989
8.263951302,1684.577838,151.1777039,Windy,1581.487061
7.161077023,1090.179344,144.4230042,Cloudy,1013.286987
5.502151966,469.6191644,145.3318024,Rainy,375.6176147
4.645584106,253.4672425,155.7653046,Rainy,198.1511993
3.847867012,100.642022,162.271698,Sunny,87.44045258
4.553710938,233.4558636,148.0536041,Sunny,189.1378021
5.735952854,539.5070619,136.6712036,Windy,434.4317932
5.057969093,350.3694191,139.4640045,Cloudy,336.5007935
4.922440052,317.1718028,141.7938995,Rainy,296.6101074
3.821350098,96.25248176,148.5747986,Rainy,92.9240036
3.580841064,61.57702143,165.8957062,Sunny,85.70230103
4.716145039,269.2057367,187.6051941,Windy,309.5114136
5.080855846,356.114453,188.4362946,Cloudy,381.1726074
5.343267918,425.0226087,202.2389984,Sunny,417.2662964
5.452712059,455.4989836,201.0330963,Windy,446.343811
4.29698801,180.2207304,191.4851074,Cloudy,206.6020966
4.736260891,273.7530825,183.4333954,Rainy,251.3757019
4.780562878,283.8646662,187.9405975,Rainy,275.0136108
4.894141197,310.4131199,180.8480072,Sunny,314.2744141
4.487487793,219.355975,185.8578033,Windy,238.7823029
5.314783096,417.2631565,180.8168945,Cloudy,409.0264893
5.711400986,531.9193571,186.1788025,Rainy,506.4703064
5.374886036,433.7182755,196.3742065,Rainy,427.9566956
6.895505905,969.6346499,193.9367065,Cloudy,952.2675781
7.240921021,1128.237686,187.7236023,Rainy,1019.905029
6.709988117,890.6123118,185.273407,Cloudy,1015.357971
6.851963043,950.7168123,183.7971039,Windy,979.7229004
5.078312874,355.4740901,185.1383972,Rainy,379.4078979
6.521288872,814.34348,189.263504,Sunny,841.5977783
6.171179771,683.2747912,189.2765045,Windy,672.6187744
5.449243069,454.5165791,190.636795,Cloudy,452.0786133
5.851128101,575.9105762,196.9326935,Windy,558.9979248
5.094088078,359.454764,193.4658051,Rainy,331.7192993
4.598594189,243.1654974,197.9337006,Sunny,212.1006927
3.629702091,67.87244481,199.7156067,Windy,79.72102356
4.472650051,216.232972,205.3706055,Cloudy,183.0128021
4.918616772,316.2552558,204.3323059,Sunny,279.1960144
5.625835896,505.9378767,209.3771057,Windy,460.2166138
6.316774845,736.1652234,211.6537018,Cloudy,647.7111206
6.237164974,706.9630418,212.0509033,Rainy,685.0780029
6.449378014,786.3313199,211.607605,Sunny,709.8339844
5.782717228,554.1258994,212.3511047,Windy,493.3555908
5.346119881,425.803377,216.8318024,Cloudy,366.0793152
4.379333019,196.8860292,220.0410004,Rainy,183.0379028
3.011370897,16.3742125,238.6905975,Rainy,7.347679138
3.24625206,28.73127208,238.0765076,Sunny,12.34420013
3.801294088,93.00718811,221.5258942,Sunny,65.98790741
4.43715477,208.8146524,225.1553955,Windy,157.8495026
3.677906036,74.4575207,220.4692993,Cloudy,50.42205048
4.115369797,144.7212631,222.5281067,Rainy,88.1881485
4.987364769,332.9015993,220.7682037,Rainy,242.3132935
4.871101856,304.9535561,222.9488983,Rainy,262.8019104
5.921298981,598.7577677,212.7292938,Sunny,584.6671143
5.030583858,343.5487361,216.0464935,Windy,298.586792
4.997858047,335.4735677,206.8820038,Cloudy,279.7724915
6.434377193,780.5598676,208.842804,Rainy,823.4796143
6.996636868,1014.475559,212.2098999,Rainy,883.265625
7.625429153,1323.35127,205.5773926,Sunny,1155.17395
8.103025436,1589.535548,198.4824066,Sunny,1400.389038
7.518618107,1267.568261,207.7772064,Windy,1205.10498
7.688251019,1356.847422,199.1479034,Cloudy,1292.051025
8.459005356,1802.775046,192.9795074,Rainy,1856.177002
9.077300072,2193.93789,194.6878967,Rainy,1928.175049
8.439414978,1790.767706,196.0083008,Sunny,1604.427002
7.987431049,1522.807198,203.3475037,Windy,1599.995972
7.939982891,1495.816905,209.9878998,Cloudy,1456.094971
7.719861984,1373.888155,213.6096039,Sunny,1386.623047
7.774147034,1403.435097,214.1114044,Windy,1460.360962
8.582259178,1878.957276,210.4824066,Cloudy,1894.795044
8.339191437,1729.804577,212.0424042,Rainy,1760.422974
9.083572388,2198.000295,214.585495,Rainy,2010.977051
8.675281525,1937.131478,211.3721008,Sunny,1828.81604
9.150783539,2241.613462,208.8197937,Windy,1960.692993
9.191649437,2268.199522,204.3585052,Cloudy,1900.447998
8.260289192,1682.388913,201.8890991,Rainy,1549.958008
8.48968792,1821.638384,194.9138947,Rainy,1692.688965
8.78850174,2008.641646,194.1036072,Cloudy,1931.083984
8.9564991,2115.986258,193.3457947,Rainy,2060.147949
9.095618248,2205.805875,195.2973938,Cloudy,2069.625
8.725904465,1969.014282,199.5845032,Windy,2037.266968
8.112092018,1594.82568,197.5211029,Rainy,1594.845947
6.856678963,952.7545786,200.4409943,Sunny,994.5827026
7.279873848,1147.124788,200.8896942,Windy,1137.285034
7.534298897,1275.663238,199.7960968,Cloudy,1267.858032
6.945837021,991.791762,196.680603,Windy,1002.463013
7.085527897,1054.959522,199.6690063,Rainy,1172.348022
7.406904221,1210.225036,197.4501953,Sunny,1252.139038
6.934106827,986.5997761,196.3952026,Windy,1121.166992
7.151297092,1085.577233,194.0278931,Cloudy,1183.020996
6.571721077,834.3322217,191.2942047,Rainy,932.3084106
6.759712219,911.3914755,190.1013947,Sunny,989.5076904
6.414824963,773.0743738,185.5180969,Windy,750.5510254
6.523455143,815.1962332,187.6056976,Cloudy,825.7661743
7.062949181,1044.579697,192.7353973,Rainy,1116.487061
6.692947865,883.5576994,196.0746002,Rainy,986.7598877
6.809185982,932.3551445,194.8430023,Sunny,1018.14502
6.096306801,656.9602747,192.4667969,Sunny,659.1777954
6.142684937,673.1894828,190.7617035,Windy,729.4874268
6.430369854,779.022258,194.5778046,Cloudy,864.5026245
7.538290977,1277.729355,197.9828033,Rainy,1342.239014
7.363255978,1188.27897,197.254303,Rainy,1279.098022
7.46066618,1237.646646,201.2154999,Sunny,1351.391968
7.031758785,1030.349722,199.337204,Windy,1039.727051
6.874794006,960.6072518,194.1508026,Cloudy,876.0166016
6.345135212,746.7335706,196.0812073,Sunny,754.0079956
7.185342789,1101.653759,198.135498,Windy,1122.334961
6.635414124,859.9864071,199.4308014,Cloudy,907.7965698
6.927267075,983.5802763,194.1383057,Rainy,1009.737
8.333586693,1726.419178,193.2097015,Rainy,1806.98999
9.532950401,2465.780065,191.9416962,Sunny,2374.843994
8.42602253,1782.575933,189.827301,Windy,1779.208984
7.494080067,1254.910872,192.1376038,Cloudy,1334.980957
8.009915352,1535.679929,192.0973053,Rainy,1562.947021
7.944521904,1498.388472,194.2440033,Rainy,1562.116943
7.72806406,1378.329691,200.2335968,Cloudy,1464.977051
7.462277889,1238.475456,205.0283966,Rainy,1312.358032
6.420166969,775.1153796,200.6712952,Cloudy,767.0369873
4.7484622,276.5245875,201.9185028,Windy,283.2593079
6.264211178,716.8074668,208.1761017,Rainy,687.1071777
5.50088501,469.2545248,200.7915955,Sunny,465.7536011
5.27207613,405.760119,208.0086975,Windy,355.6220093
5.701906204,529.0010043,217.7465057,Cloudy,467.8251953
6.579235077,837.3348199,212.3013,Windy,865.3469849
7.678398132,1351.561187,208.9172974,Rainy,1512.972046
7.89579916,1470.901705,217.2373962,Sunny,1491.698975
8.964849472,2121.355873,221.3515015,Windy,2004.44104
8.083142281,1577.962305,219.8023987,Cloudy,1581.483032
7.799798965,1417.519324,214.5469971,Sunny,1431.620972
7.978303909,1517.596799,216.9134064,Windy,1523.792969
8.155491829,1620.257833,215.3661041,Cloudy,1693.270996
8.248645782,1675.437185,211.0007935,Rainy,1775.037964
8.495847702,1825.433662,210.1282959,Sunny,1875.410034
7.96182394,1508.211169,208.8327026,Windy,1558.057983
8.35203743,1737.573598,204.2586975,Cloudy,1811.088989
8.135239601,1608.367728,198.5278015,Rainy,1686.125977
9.599003792,2516.478296,198.7720032,Rainy,2362.262939
8.982050896,2132.426304,197.4006958,Sunny,2000.86499
7.2846632,1149.461729,189.5783997,Sunny,1169.964966
7.521474838,1269.040544,182.8565979,Windy,1309.223999
6.215313911,699.0669586,186.8215027,Cloudy,759.0145264
5.501014233,469.2917094,195.8029938,Rainy,498.1903076
5.106607914,362.6279759,195.1764069,Rainy,332.4820862
4.649808884,254.4003993,191.6334991,Sunny,253.5845032
4.374350071,195.8669199,206.2425995,Windy,180.4122925
4.833168983,296.0476529,196.2194977,Cloudy,258.3656921
4.907478809,313.5912843,187.0084991,Sunny,133.0052948
5.013915062,339.4254412,50.42341995,Sunny,210.7194977
5.274309158,406.3577312,47.2641716,Windy,338.6500854
